PR_NUM,REVISION,METERID,CREATEDDATE,FORECASTID,REQUESTED_DATE,STATUS,RESPONSE_DATE,RESPONSE_STATUS
1-ZD28G4,2,PJM_PPL_7145121005,12/11/2019 7:50,20191211075103168000_PJM_PPL_7145121005,12/11/2019 7:51,FORECAST_COMPLETE,12/11/2019 8:14,SUCCESS
1-ZD28G4,2,PJM_PPL_8649021007,12/11/2019 7:35,20191211073600991000_PJM_PPL_8649021007,12/11/2019 7:36,FORECAST_COMPLETE,12/11/2019 7:56,SUCCESS
1-ZD28G4,2,PJM_PPL_7086111003,12/11/2019 7:35,20191211073600944000_PJM_PPL_7086111003,12/11/2019 7:36,FORECAST_COMPLETE,12/11/2019 7:55,SUCCESS
1-ZD28G4,2,PJM_PPL_8453109010,12/11/2019 7:35,20191211073600819000_PJM_PPL_8453109010,12/11/2019 7:36,FORECAST_COMPLETE,12/11/2019 7:55,SUCCESS
1-ZD28G4,2,PJM_PPL_7105121003,12/11/2019 7:35,20191211073600710000_PJM_PPL_7105121003,12/11/2019 7:36,FORECAST_COMPLETE,12/11/2019 7:55,SUCCESS
1-ZD28G4,2,PJM_PPL_6056105005,12/11/2019 7:35,20191211073600819000_PJM_PPL_6056105005,12/11/2019 7:36,FORECAST_COMPLETE,12/11/2019 7:55,SUCCESS
1-ZD28G4,2,PJM_PPL_8413109018,12/11/2019 7:25,20191211072604952000_PJM_PPL_8413109018,12/11/2019 7:26,FORECAST_COMPLETE,12/11/2019 7:51,SUCCESS
1-ZD28G4,2,PJM_PPL_7177118005,12/11/2019 7:25,20191211072604968000_PJM_PPL_7177118005,12/11/2019 7:26,FORECAST_COMPLETE,12/11/2019 7:51,SUCCESS
1-ZD28G4,2,PJM_PPL_8069021001,12/11/2019 7:25,20191211072604890000_PJM_PPL_8069021001,12/11/2019 7:26,FORECAST_COMPLETE,12/11/2019 7:46,SUCCESS
1-ZD28G4,2,PJM_PPL_8226120009,12/11/2019 7:25,20191211072604968000_PJM_PPL_8226120009,12/11/2019 7:26,FORECAST_COMPLETE,12/11/2019 7:46,SUCCESS
1-ZD28G4,2,PJM_PPL_9962035006,12/11/2019 7:25,20191211072604968000_PJM_PPL_9962035006,12/11/2019 7:26,FORECAST_COMPLETE,12/11/2019 7:46,SUCCESS
1-ZD28G4,2,PJM_PPL_5817118009,12/11/2019 7:15,20191211071604976000_PJM_PPL_5817118009,12/11/2019 7:16,FORECAST_COMPLETE,12/11/2019 7:38,SUCCESS
1-ZD28G4,2,PJM_PPL_5085123007,12/11/2019 7:15,20191211071604945000_PJM_PPL_5085123007,12/11/2019 7:16,FORECAST_COMPLETE,12/11/2019 7:34,SUCCESS
1-ZD28G4,2,PJM_PPL_8557049017,12/11/2019 7:15,20191211071605132000_PJM_PPL_8557049017,12/11/2019 7:16,FORECAST_COMPLETE,12/11/2019 7:38,SUCCESS
1-ZD28G4,2,PJM_PPL_8043126001,12/11/2019 7:15,20191211071605054000_PJM_PPL_8043126001,12/11/2019 7:16,FORECAST_COMPLETE,12/11/2019 7:35,SUCCESS
1-ZD28G4,2,PJM_PPL_6762135004,12/11/2019 7:15,20191211071604913000_PJM_PPL_6762135004,12/11/2019 7:16,FORECAST_COMPLETE,12/11/2019 7:35,SUCCESS
1-ZD28G4,2,PJM_PPL_3811802000,12/11/2019 6:55,20191211065600772000_PJM_PPL_3811802000,12/11/2019 6:56,FORECAST_COMPLETE,12/11/2019 7:14,SUCCESS
1-ZD28G4,2,PJM_PPL_2173031002,12/11/2019 6:55,20191211065600756000_PJM_PPL_2173031002,12/11/2019 6:56,FORECAST_COMPLETE,12/11/2019 7:14,SUCCESS
